iter	Logloss
0	0.6838932277
1	0.6750437247
2	0.6662392154
3	0.6574921353
4	0.6492337989
5	0.6404067526
6	0.6324228458
7	0.624208578
8	0.6158336718
9	0.6078363567
10	0.6002375353
11	0.5926612453
12	0.5854802915
13	0.5786987102
14	0.5716147468
15	0.5647447447
16	0.5582872277
17	0.5516776954
18	0.5456280739
19	0.5392753359
20	0.5330366891
21	0.5267838061
22	0.5213354792
23	0.5157351391
24	0.5103358074
25	0.5043340067
26	0.4990818963
27	0.4936432124
28	0.4884895117
29	0.483590751
30	0.4789958787
31	0.4742356716
32	0.4691373844
33	0.4644209439
34	0.4596650475
35	0.4550275188
36	0.4506115448
37	0.4467475286
38	0.442471226
39	0.4379440561
40	0.4341712499
41	0.4304193777
42	0.4265441296
43	0.4226980474
44	0.4191952196
45	0.4158902886
46	0.4127351041
47	0.4092423547
48	0.4062079443
49	0.4031395017
50	0.4002714524
51	0.3972295058
52	0.3943454715
53	0.3917196201
54	0.3888246863
55	0.3861225663
56	0.3831674204
57	0.380775182
58	0.3782223208
59	0.3755621748
60	0.3730933876
61	0.3707023129
62	0.3684610224
63	0.3663282251
64	0.3637593614
65	0.361347318
66	0.3591896468
67	0.3572898412
68	0.3549487463
69	0.3527628129
70	0.3509767033
71	0.3491984739
72	0.3474310395
73	0.3455934579
74	0.3437691809
75	0.3421868251
76	0.3405578413
77	0.3389939549
78	0.3372135042
79	0.3354129331
80	0.3339561596
81	0.3325782462
82	0.3307185083
83	0.3293898194
84	0.3280422654
85	0.3264106248
86	0.3248729946
87	0.3235224783
88	0.3222535218
89	0.3207482229
90	0.3193308768
91	0.3182297796
92	0.3170412386
93	0.3157474498
94	0.3146859913
95	0.3136188779
96	0.3126319935
97	0.3113389335
98	0.310282095
99	0.3089534479
100	0.3079479389
101	0.3068433089
102	0.3056995391
103	0.3047015396
104	0.3037287581
105	0.3026287215
106	0.3013772357
107	0.300267465
108	0.2993695367
109	0.2984479093
110	0.297461686
111	0.2967099994
112	0.2956770554
113	0.2950036181
114	0.2941668273
115	0.2934700826
116	0.2925470148
117	0.291929706
118	0.2909744672
119	0.2900650487
120	0.2894902399
121	0.2889247853
122	0.2882985179
123	0.2877186021
124	0.2869436061
125	0.28631091
126	0.285766485
127	0.2847802147
128	0.2842953023
129	0.2838199371
130	0.2828797497
131	0.2823542346
132	0.2815607577
133	0.2809530438
134	0.2802420471
135	0.2797891168
136	0.2791143585
137	0.2783842229
138	0.2779954887
139	0.2769848692
140	0.2766135212
141	0.2762496255
142	0.2755945294
143	0.2748998003
144	0.2740975614
145	0.2737653081
146	0.2731709095
147	0.272566076
148	0.2719934741
149	0.2716891013
150	0.2713907923
151	0.2709645219
152	0.2701425433
153	0.2698348852
154	0.2692764462
155	0.2690096706
156	0.2684092074
157	0.2679024834
158	0.2671925722
159	0.2669491103
160	0.2665130797
161	0.265990253
162	0.2657579285
163	0.2651442614
164	0.264528422
165	0.2638920446
166	0.2635288319
167	0.2630818144
168	0.2628603158
169	0.2621950462
170	0.2616549921
171	0.2612275726
172	0.2608692098
173	0.2603363808
174	0.259930915
175	0.2594003247
176	0.2588377979
177	0.2586497033
178	0.2583577567
179	0.2579991019
180	0.2573186919
181	0.2568397722
182	0.256417362
183	0.2559986066
184	0.255572653
185	0.2552280962
186	0.2550467004
187	0.2546372202
188	0.2542487668
189	0.2537153789
190	0.253307695
191	0.2527883388
192	0.2523423424
193	0.2520490026
194	0.2517517062
195	0.251302433
196	0.2508600569
197	0.2502091229
198	0.2497712191
199	0.2493102634
200	0.248866443
201	0.2484652291
202	0.2481898414
203	0.2478018121
204	0.2474653349
205	0.2469855117
206	0.2465210108
207	0.2461280896
208	0.2459456905
209	0.2456538865
210	0.2454171813
211	0.2451620381
212	0.2447891673
213	0.24441645
214	0.2443516243
215	0.2438594636
216	0.2436060687
217	0.2433183337
218	0.2429363609
219	0.2424134588
220	0.2419387655
221	0.2414476967
222	0.2411731152
223	0.2409257318
224	0.2405838335
225	0.2402538832
226	0.2398895963
227	0.2394248154
228	0.2388729765
229	0.2386423278
230	0.2382383064
231	0.2376685649
232	0.2372691933
233	0.237064612
234	0.2365887027
235	0.2361189331
236	0.2355267726
237	0.2352927742
238	0.2350910306
239	0.2347637419
240	0.2341654796
241	0.2337557026
242	0.2333262136
243	0.2329472862
244	0.2324672345
245	0.2320923396
246	0.2317730916
247	0.2316763606
248	0.2313382182
249	0.2310689799
250	0.2307315538
251	0.2302684995
252	0.2297327337
253	0.2293359681
254	0.2291113735
255	0.2288699636
256	0.2285169985
257	0.2280523647
258	0.2276550287
259	0.2273296305
260	0.2272462898
261	0.2271528619
262	0.2268293184
263	0.2266443828
264	0.2262963275
265	0.2261520796
266	0.2259286867
267	0.2256094647
268	0.2252150027
269	0.2250156162
270	0.2247383626
271	0.2243249357
272	0.2242409829
273	0.2239442217
274	0.2237144194
275	0.2235284894
276	0.2233569526
277	0.2230746914
278	0.2228491846
279	0.2226554153
280	0.2225804602
281	0.2223628606
282	0.2221735652
283	0.2217286489
284	0.2214986084
285	0.2210936269
286	0.2208779871
287	0.2206098123
288	0.2203863052
289	0.2199003974
290	0.2196182651
291	0.2193220209
292	0.2191369774
293	0.2189519454
294	0.2187819415
295	0.2184462075
296	0.2180442953
297	0.2173715868
298	0.2171238278
299	0.2169284021
300	0.2166299656
301	0.2163393831
302	0.2161375563
303	0.2157519033
304	0.2155321643
305	0.215370999
306	0.215081935
307	0.2148004988
308	0.2146129941
309	0.2144040392
310	0.2141934451
311	0.2138086941
312	0.2137004996
313	0.213407317
314	0.2129865227
315	0.21277397
316	0.2125379596
317	0.2122596216
318	0.2120667781
319	0.2117702057
320	0.2114883871
321	0.2109860576
322	0.210926345
323	0.2105314528
324	0.2102105976
325	0.2097679332
326	0.2096600841
327	0.2093970662
328	0.209093075
329	0.2090744612
330	0.2084760262
331	0.2081289268
332	0.2080024218
333	0.2076904906
334	0.2075559257
335	0.2070160701
336	0.206896153
337	0.2066253402
338	0.2063545091
339	0.2060803514
340	0.2060315411
341	0.2060120611
342	0.205666568
343	0.2054602343
344	0.2053004602
345	0.2050760392
346	0.205061132
347	0.2048961782
348	0.204654772
349	0.2044793343
350	0.2042872014
351	0.2039561503
352	0.2039559616
353	0.2038601838
354	0.2037363684
355	0.2034143908
356	0.2032559221
357	0.2029575785
358	0.2026827354
359	0.2024210258
360	0.2020022566
361	0.2017518637
362	0.2015923941
363	0.2013814168
364	0.2012200496
365	0.2010471184
366	0.2006977268
367	0.2005108995
368	0.2003204369
369	0.200002962
370	0.1995235519
371	0.1992850139
372	0.1990518153
373	0.1988715423
374	0.19869065
375	0.1985366158
376	0.1985079126
377	0.198444572
378	0.1982708074
379	0.1981622635
380	0.1977284879
381	0.1974667813
382	0.1972676827
383	0.1971021845
384	0.196792617
385	0.1965610305
386	0.1964378052
387	0.196189474
388	0.196140831
389	0.1959018472
390	0.1956350532
391	0.1954218248
392	0.1951936604
393	0.1949891363
394	0.1948420636
395	0.1946287243
396	0.1943634439
397	0.1943240113
398	0.1941000754
399	0.1939630235
400	0.1937148635
401	0.1935364684
402	0.1933284964
403	0.1930989171
404	0.1928634621
405	0.1926913126
406	0.1926877549
407	0.1925553604
408	0.1923265734
409	0.192242117
410	0.1919106102
411	0.191611251
412	0.1915367693
413	0.1914633769
414	0.1913138569
415	0.1911742176
416	0.1910279899
417	0.1909631024
418	0.1906867278
419	0.190491169
420	0.1903810461
421	0.1903360945
422	0.1902720637
423	0.190089915
424	0.1899657137
425	0.189803373
426	0.1895299414
427	0.1892007037
428	0.1890512213
429	0.1888403941
430	0.1886897764
431	0.1884313116
432	0.1881739264
433	0.1878554123
434	0.1876460718
435	0.1874952
436	0.1872930024
437	0.1870246017
438	0.1867728805
439	0.1866307164
