iter	Passed	Remaining
0	18	18083
1	23	11521
2	46	15566
3	58	14595
4	79	15814
5	111	18405
6	148	21054
7	197	24513
8	230	25397
9	275	27261
10	325	29259
11	359	29623
12	389	29578
13	431	30375
14	469	30812
15	499	30743
16	521	30176
17	550	30057
18	559	28897
19	584	28659
20	613	28594
21	639	28415
22	648	27542
23	674	27424
24	701	27355
25	726	27200
26	753	27139
27	778	27011
28	802	26869
29	829	26823
30	849	26557
31	863	26106
32	882	25868
33	909	25853
34	934	25765
35	962	25762
36	979	25493
37	1004	25441
38	1030	25382
39	1053	25276
40	1082	25319
41	1105	25212
42	1129	25136
43	1154	25076
44	1179	25025
45	1227	25451
46	1296	26287
47	1350	26779
48	1387	26930
49	1415	26898
50	1426	26548
51	1453	26493
52	1481	26465
53	1488	26072
54	1512	25982
55	1542	26000
56	1566	25920
57	1572	25545
58	1593	25416
59	1625	25460
60	1652	25437
61	1676	25364
62	1701	25302
63	1712	25043
64	1741	25057
65	1766	25002
66	1791	24950
67	1797	24643
68	1823	24608
69	1847	24551
70	1859	24335
71	1871	24123
72	1881	23887
73	1905	23849
74	1926	23760
75	1932	23495
76	1954	23428
77	1977	23373
78	2000	23317
79	2024	23277
80	2035	23090
81	2047	22924
82	2073	22913
83	2102	22923
84	2114	22766
85	2133	22673
86	2158	22654
87	2179	22586
88	2197	22493
89	2217	22417
90	2240	22376
91	2245	22163
92	2265	22097
93	2289	22064
94	2303	21942
95	2323	21878
96	2329	21684
97	2355	21680
98	2376	21629
99	2403	21631
100	2417	21517
101	2441	21491
102	2468	21494
103	2493	21485
104	2518	21469
105	2540	21423
106	2564	21401
107	2584	21348
108	2612	21353
109	2636	21334
110	2661	21313
111	2668	21157
112	2693	21139
113	2697	20962
114	2719	20929
115	2745	20919
116	2765	20871
117	2773	20727
118	2799	20723
119	2823	20704
120	2834	20594
121	2840	20441
122	2858	20381
123	2868	20264
124	2896	20275
125	2916	20227
126	2925	20110
127	2948	20090
128	2959	19982
129	2965	19844
130	2990	19838
131	3017	19843
132	3041	19826
133	3066	19819
134	3086	19776
135	3108	19747
136	3129	19712
137	3158	19729
138	3164	19600
139	3187	19583
140	3194	19459
141	3200	19336
142	3224	19324
143	3246	19301
144	3272	19295
145	3281	19191
146	3301	19159
147	3325	19145
148	3354	19159
149	3360	19041
150	3363	18913
151	3393	18934
152	3417	18920
153	3432	18855
154	3457	18846
155	3462	18734
156	3490	18740
157	3516	18739
158	3541	18731
159	3547	18622
160	3572	18615
161	3592	18584
162	3604	18507
163	3627	18492
164	3653	18488
